Description:           XBRL Index of EDGAR Dissemination Feed
Last Data Received:    September 30, 2008
Comments:              webmaster@sec.gov
Anonymous FTP:         ftp://ftp.sec.gov/edgar/
 
 
 
 
CIK|Company Name|Form Type|Date Filed|Filename
--------------------------------------------------------------------------------
1002556|VAN WAGONER FUNDS INC|N-14/A|2008-08-08|edgar/data/1002556/0001104659-08-051460.txt
100334|AMERICAN CENTURY MUTUAL FUNDS, INC.|485BPOS|2008-07-01|edgar/data/100334/0000100334-08-000042.txt
1004155|AGL RESOURCES INC|8-K|2008-07-31|edgar/data/1004155/0001004155-08-000130.txt
101829|UNITED TECHNOLOGIES CORP /DE/|10-Q|2008-07-22|edgar/data/101829/0001193125-08-154825.txt
1024446|NET SERVICOS DE COMUNICACAO S A|6-K|2008-08-26|edgar/data/1024446/0001292814-08-002408.txt
1024446|NET SERVICOS DE COMUNICACAO S A|6-K|2008-08-26|edgar/data/1024446/0001292814-08-002410.txt
1037016|NII HOLDINGS INC|8-K|2008-09-02|edgar/data/1037016/0000950133-08-003012.txt
1070412|CONSOL ENERGY INC|10-Q|2008-08-05|edgar/data/1070412/0001193125-08-166134.txt
1080224|EDGAR ONLINE INC|10-Q|2008-08-07|edgar/data/1080224/0001193125-08-170193.txt
1097864|ON SEMICONDUCTOR CORP|8-K|2008-09-08|edgar/data/1097864/0001193125-08-192169.txt
1113169|PRICE T ROWE GROUP INC|8-K|2008-07-16|edgar/data/1113169/0000950135-08-004978.txt
1156375|CME GROUP INC.|8-K|2008-08-29|edgar/data/1156375/0001193125-08-186903.txt
1173172|PNC ABSOLUTE RETURN FUND LLC|N-2|2008-07-01|edgar/data/1173172/0001193125-08-145057.txt
1217286|JPMorgan Trust I|485BPOS|2008-09-12|edgar/data/1217286/0001145443-08-002611.txt
1303682|Lehman Brothers Institutional Liquidity Cash Management Funds|485BPOS|2008-07-29|edgar/data/1303682/0000898432-08-000711.txt
1310243|Alpha Natural Resources, Inc.|10-Q|2008-08-04|edgar/data/1310243/0001310243-08-000026.txt
1317474|LEHMAN BROTHERS INSTITUTIONAL LIQUIDITY FUNDS|485BPOS|2008-07-29|edgar/data/1317474/0000898432-08-000707.txt
1335793|CNX Gas CORP|10-Q|2008-08-05|edgar/data/1335793/0001193125-08-166034.txt
1368007|NYSE Euronext|8-K|2008-08-15|edgar/data/1368007/0001193125-08-178897.txt
1368007|NYSE Euronext|8-K|2008-08-28|edgar/data/1368007/0001193125-08-186776.txt
1383312|BROADRIDGE FINANCIAL SOLUTIONS, INC.|8-K|2008-09-11|edgar/data/1383312/0001193125-08-194588.txt
1413329|Philip Morris International Inc.|8-K|2008-09-10|edgar/data/1413329/0001157523-08-007334.txt
205323|FIDELITY COMMONWEALTH TRUST|485BPOS|2008-07-10|edgar/data/205323/0000205323-08-000022.txt
29669|RR Donnelley & Sons Co|8-K|2008-08-14|edgar/data/29669/0001193125-08-178423.txt
