Description:           XBRL Index of EDGAR Dissemination Feed
Last Data Received:    December 31, 2008
Comments:              webmaster@sec.gov
Anonymous FTP:         ftp://ftp.sec.gov/edgar/
 
 
 
 
CIK|Company Name|Form Type|Date Filed|Filename
--------------------------------------------------------------------------------
1002638|OPEN TEXT CORP|8-K|2008-12-17|edgar/data/1002638/0001002638-08-000007.txt
1004155|AGL RESOURCES INC|8-K|2008-10-30|edgar/data/1004155/0001004155-08-000144.txt
101778|MARATHON OIL CORP|8-K/A|2008-10-28|edgar/data/101778/0000101778-08-000099.txt
101829|UNITED TECHNOLOGIES CORP /DE/|10-Q|2008-10-21|edgar/data/101829/0001193125-08-213211.txt
1024446|NET SERVICOS DE COMUNICACAO S A|6-K|2008-12-03|edgar/data/1024446/0001292814-08-003300.txt
1047304|PIMCO VARIABLE INSURANCE TRUST|485BPOS|2008-12-22|edgar/data/1047304/0001193125-08-258441.txt
1067491|INFOSYS TECHNOLOGIES LTD|6-K|2008-10-06|edgar/data/1067491/0000950134-08-017579.txt
1070412|CONSOL ENERGY INC|10-Q|2008-11-04|edgar/data/1070412/0001193125-08-224111.txt
1080224|EDGAR ONLINE INC|10-Q|2008-11-06|edgar/data/1080224/0001193125-08-228106.txt
108772|XEROX CORP|8-K|2008-10-01|edgar/data/108772/0001193125-08-204592.txt
108772|XEROX CORP|8-K|2008-10-28|edgar/data/108772/0001193125-08-218018.txt
1094093|PROGRESS ENERGY INC|8-K|2008-12-12|edgar/data/1094093/0001094093-08-000191.txt
1097864|ON SEMICONDUCTOR CORP|8-K|2008-11-10|edgar/data/1097864/0001193125-08-231997.txt
1119639|PETROBRAS - PETROLEO BRASILEIRO SA|6-K|2008-12-12|edgar/data/1119639/0001292814-08-003381.txt
1119639|PETROBRAS - PETROLEO BRASILEIRO SA|6-K|2008-12-12|edgar/data/1119639/0001292814-08-003383.txt
1119639|PETROBRAS - PETROLEO BRASILEIRO SA|6-K|2008-12-12|edgar/data/1119639/0001292814-08-003385.txt
1120193|NASDAQ OMX GROUP, INC.|8-K|2008-12-18|edgar/data/1120193/0001193125-08-255977.txt
1124198|FLUOR CORP|10-Q|2008-11-06|edgar/data/1124198/0001104659-08-068715.txt
1125259|CARNIVAL PLC|8-K|2008-12-01|edgar/data/1125259/0001193125-08-245779.txt
1156375|CME GROUP INC.|8-K|2008-12-04|edgar/data/1156375/0001193125-08-247657.txt
