Description:           XBRL Index of EDGAR Dissemination Feed
Last Data Received:    March 31, 2009
Comments:              webmaster@sec.gov
Anonymous FTP:         ftp://ftp.sec.gov/edgar/
 
 
 
 
CIK|Company Name|Form Type|Date Filed|Filename
--------------------------------------------------------------------------------
1080224|EDGAR ONLINE INC|10-K|2009-03-23|edgar/data/1080224/0001193125-09-060521.txt
1097864|ON SEMICONDUCTOR CORP|8-K|2009-03-25|edgar/data/1097864/0001193125-09-062931.txt
1120193|NASDAQ OMX GROUP, INC.|8-K|2009-03-24|edgar/data/1120193/0001193125-09-061744.txt
1133421|NORTHROP GRUMMAN CORP /DE/|8-K|2009-03-20|edgar/data/1133421/0000950134-09-005797.txt
1156375|CME GROUP INC.|8-K|2009-03-13|edgar/data/1156375/0001193125-09-053974.txt
1310243|Alpha Natural Resources, Inc.|8-K|2009-03-20|edgar/data/1310243/0001310243-09-000008.txt
1316631|Liberty Global, Inc.|8-K|2009-03-23|edgar/data/1316631/0001193125-09-061033.txt
1365135|Western Union CO|8-K|2009-03-26|edgar/data/1365135/0001193125-09-064211.txt
1368007|NYSE Euronext|8-K|2009-03-17|edgar/data/1368007/0001193125-09-056800.txt
1413329|Philip Morris International Inc.|8-K|2009-01-09|edgar/data/1413329/0001193125-09-003843.txt
1454741|Eaton Vance National Municipal Trust|N-2|2009-01-26|edgar/data/1454741/0000940394-09-000042.txt
2969|AIR PRODUCTS & CHEMICALS INC /DE/|8-K|2009-03-30|edgar/data/2969/0000950123-09-005660.txt
51143|INTERNATIONAL BUSINESS MACHINES CORP|8-K|2009-03-27|edgar/data/51143/0001104659-09-020685.txt
51434|INTERNATIONAL PAPER CO /NEW/|8-K|2009-03-30|edgar/data/51434/0001193125-09-067707.txt
72207|NOBLE ENERGY INC|8-K|2009-03-19|edgar/data/72207/0000072207-09-000009.txt
723620|LEHMAN BROTHERS INCOME FUNDS|485APOS|2009-03-16|edgar/data/723620/0000898432-09-000408.txt
763852|JPMORGAN TRUST II|485APOS|2009-02-13|edgar/data/763852/0001145443-09-000137.txt
789019|MICROSOFT CORP|8-K|2009-03-13|edgar/data/789019/0001193125-09-054006.txt
794105|VANGUARD BOND INDEX FUNDS|485APOS|2009-01-23|edgar/data/794105/0000932471-09-000024.txt
823535|Variable Insurance Products Fund V|485APOS|2009-01-20|edgar/data/823535/0000823535-09-000001.txt
825062|DWS VALUE SERIES, INC|N-14/A|2009-02-11|edgar/data/825062/0001193125-09-025495.txt
874761|AES CORP|8-K|2009-03-27|edgar/data/874761/0001104659-09-020979.txt
898745|PRINCIPAL FUNDS INC|N-14|2009-02-18|edgar/data/898745/0000898745-09-000047.txt
912577|FEDERATED INSURANCE SERIES|485APOS|2009-02-13|edgar/data/912577/0001318148-09-000240.txt
922621|ERIE INDEMNITY CO|8-K|2009-03-24|edgar/data/922621/0000950152-09-003015.txt
92380|SOUTHWEST AIRLINES CO|8-K|2009-03-26|edgar/data/92380/0000092380-09-000012.txt
933738|ENGLOBAL CORP|8-K|2009-03-19|edgar/data/933738/0001157523-09-002209.txt
