Description:           XBRL Index of EDGAR Dissemination Feed
Last Data Received:    June 30, 2009
Comments:              webmaster@sec.gov
Anonymous FTP:         ftp://ftp.sec.gov/edgar/
 
 
 
 
CIK|Company Name|Form Type|Date Filed|Filename
--------------------------------------------------------------------------------
1002638|OPEN TEXT CORP|10-Q|2009-05-07|edgar/data/1002638/0001002638-09-000023.txt
1002638|OPEN TEXT CORP|8-K|2009-04-06|edgar/data/1002638/0001002638-09-000014.txt
1004980|PG&E CORP|8-K|2009-04-09|edgar/data/1004980/0000075488-09-000012.txt
101778|MARATHON OIL CORP|8-K|2009-05-11|edgar/data/101778/0000101778-09-000071.txt
1024446|NET SERVICOS DE COMUNICACAO S A|6-K|2009-04-02|edgar/data/1024446/0001292814-09-000722.txt
1031296|FIRSTENERGY CORP|10-Q|2009-05-07|edgar/data/1031296/0001031296-09-000011.txt
106535|WEYERHAEUSER CO|8-K|2009-04-03|edgar/data/106535/0001193125-09-072451.txt
1070412|CONSOL Energy Inc|10-Q|2009-04-27|edgar/data/1070412/0001193125-09-088639.txt
1080224|EDGAR ONLINE INC|10-Q|2009-05-14|edgar/data/1080224/0001193125-09-111401.txt
108772|XEROX CORP|10-Q|2009-04-30|edgar/data/108772/0001193125-09-094508.txt
1094093|PROGRESS ENERGY INC|8-K|2009-04-02|edgar/data/1094093/0001094093-09-000103.txt
1124198|FLUOR CORP|10-Q|2009-05-11|edgar/data/1124198/0001104659-09-031513.txt
1132597|Itau Unibanco Banco Multiplo S.A.|6-K/A|2009-04-06|edgar/data/1132597/0000947871-09-000308.txt
1164727|NEWMONT MINING CORP /DE/|10-Q|2009-04-30|edgar/data/1164727/0000891618-09-000150.txt
1174281|UBS CREDIT RECOVERY FUND LLC|POS 8C|2009-04-22|edgar/data/1174281/0000899681-09-000304.txt
1174281|UBS CREDIT RECOVERY FUND LLC|POS 8C|2009-05-01|edgar/data/1174281/0000899681-09-000350.txt
1316631|Liberty Global, Inc.|10-Q|2009-05-05|edgar/data/1316631/0001193125-09-100014.txt
1316631|Liberty Global, Inc.|8-K|2009-04-08|edgar/data/1316631/0001193125-09-075548.txt
1335793|CNX Gas Corp|10-Q|2009-04-27|edgar/data/1335793/0001193125-09-088631.txt
1349436|SANDRIDGE ENERGY INC|10-Q|2009-05-07|edgar/data/1349436/0000950134-09-009913.txt
13610|BOWNE & CO INC|10-Q|2009-05-11|edgar/data/13610/0000950123-09-008550.txt
13610|BOWNE & CO INC|8-K/A|2009-04-10|edgar/data/13610/0000950123-09-006412.txt
13610|BOWNE & CO INC|8-K|2009-04-09|edgar/data/13610/0000950123-09-006358.txt
13610|BOWNE & CO INC|8-K|2009-04-10|edgar/data/13610/0000950123-09-006419.txt
1365135|Western Union CO|10-Q|2009-05-04|edgar/data/1365135/0001193125-09-096522.txt
1368007|NYSE Euronext|8-K|2009-05-13|edgar/data/1368007/0001193125-09-109617.txt
1407703|FirstEnergy Solutions Corp.|10-Q|2009-05-07|edgar/data/1407703/0001031296-09-000011.txt
1414932|Fifth Street Finance Corp|N-2|2009-06-04|edgar/data/1414932/0000950123-09-011101.txt
1454741|Eaton Vance National Municipal Opportunities Trust|N-2/A|2009-04-21|edgar/data/1454741/0001193125-09-083055.txt
1454741|Eaton Vance National Municipal Opportunities Trust|N-2/A|2009-05-22|edgar/data/1454741/0001193125-09-116876.txt
17797|CAROLINA POWER & LIGHT CO|8-K|2009-04-02|edgar/data/17797/0001094093-09-000104.txt
20947|CLEVELAND ELECTRIC ILLUMINATING CO|10-Q|2009-05-07|edgar/data/20947/0001031296-09-000011.txt
277948|CSX CORP|10-Q|2009-04-15|edgar/data/277948/0000277948-09-000066.txt
28412|COMERICA INC /NEW/|8-K|2009-04-10|edgar/data/28412/0001104659-09-023664.txt
29669|RR Donnelley & Sons Co|10-Q|2009-05-06|edgar/data/29669/0001193125-09-101639.txt
352049|TOLEDO EDISON CO|10-Q|2009-05-07|edgar/data/352049/0001031296-09-000011.txt
37637|FLORIDA POWER CORP|8-K|2009-04-02|edgar/data/37637/0001094093-09-000105.txt
38009|FORD MOTOR CREDIT CO LLC|8-K|2009-04-09|edgar/data/38009/0001157523-09-002636.txt
38074|FOREST LABORATORIES INC|10-K|2009-05-29|edgar/data/38074/0000038074-09-000029.txt
4281|ALCOA INC|8-K|2009-04-10|edgar/data/4281/0001193125-09-076995.txt
4904|AMERICAN ELECTRIC POWER CO INC|8-K|2009-04-09|edgar/data/4904/0000004904-09-000065.txt
53456|JERSEY CENTRAL POWER & LIGHT CO|10-Q|2009-05-07|edgar/data/53456/0001031296-09-000011.txt
65350|METROPOLITAN EDISON CO|10-Q|2009-05-07|edgar/data/65350/0001031296-09-000011.txt
723620|LEHMAN BROTHERS INCOME FUNDS|485BPOS|2009-05-15|edgar/data/723620/0000898432-09-000691.txt
73960|OHIO EDISON CO|10-Q|2009-05-07|edgar/data/73960/0001031296-09-000011.txt
769397|AUTODESK INC|10-Q|2009-06-03|edgar/data/769397/0001193125-09-124260.txt
769397|AUTODESK INC|8-K|2009-04-01|edgar/data/769397/0001193125-09-070640.txt
77227|PENNSYLVANIA ELECTRIC CO|10-Q|2009-05-07|edgar/data/77227/0001031296-09-000011.txt
780571|ITRON INC /WA/|10-Q|2009-05-05|edgar/data/780571/0000780571-09-000024.txt
78814|PITNEY BOWES INC /DE/|8-K|2009-04-07|edgar/data/78814/0000078814-09-000009.txt
796343|ADOBE SYSTEMS INC|10-Q|2009-04-03|edgar/data/796343/0000796343-09-000021.txt
796343|ADOBE SYSTEMS INC|10-Q|2009-06-26|edgar/data/796343/0000796343-09-000026.txt
811030|PROFESSIONALLY MANAGED PORTFOLIOS|485BPOS|2009-05-11|edgar/data/811030/0000894189-09-001483.txt
811030|PROFESSIONALLY MANAGED PORTFOLIOS|485BPOS|2009-05-11|edgar/data/811030/0000894189-09-001484.txt
818686|TEVA PHARMACEUTICAL INDUSTRIES LTD|6-K|2009-05-07|edgar/data/818686/0001193125-09-102866.txt
823535|Variable Insurance Products Fund V|485BPOS|2009-04-03|edgar/data/823535/0000823535-09-000003.txt
831259|FREEPORT MCMORAN COPPER & GOLD INC|10-Q|2009-05-11|edgar/data/831259/0000831259-09-000047.txt
86144|SAFEWAY INC|10-Q/A|2009-05-06|edgar/data/86144/0001193125-09-101273.txt
883984|ICU MEDICAL INC/DE|10-Q|2009-04-23|edgar/data/883984/0001104659-09-025790.txt
884905|PRAXAIR INC|10-Q|2009-04-29|edgar/data/884905/0001193125-09-091929.txt
896262|AMEDISYS INC|8-K|2009-04-29|edgar/data/896262/0000896262-09-000026.txt
899881|PROLOGIS|8-K|2009-04-01|edgar/data/899881/0000950134-09-006698.txt
901491|PAPA JOHNS INTERNATIONAL INC|10-Q|2009-05-05|edgar/data/901491/0001104659-09-029605.txt
92380|SOUTHWEST AIRLINES CO|10-Q/A|2009-04-29|edgar/data/92380/0000092380-09-000018.txt
93410|CHEVRON CORP|10-Q|2009-05-07|edgar/data/93410/0000891618-09-000166.txt
